Price,Close,High,Low,Open,Volume
Ticker,IAM.PA,IAM.PA,IAM.PA,IAM.PA,IAM.PA
Date,,,,,
2005-04-06,6.152208076315446e-09,6.235234144760986e-09,6.152208076315446e-09,6.226931379557378e-09,51168
2005-04-07,6.210326919386944e-09,6.26844509442997e-09,6.143906374136443e-09,6.226932055699569e-09,133271
2005-04-08,6.309957889527595e-09,6.442799379131858e-09,6.226932205960987e-09,6.243537342674308e-09,322297
2005-04-11,6.218628723075881e-09,6.309957162424115e-09,6.218628723075881e-09,6.30165479297299e-09,55867
2005-04-12,6.235233218632175e-09,6.35146914293454e-09,6.226930454661789e-09,6.309956114877765e-09,13181
2005-04-13,6.293352505792882e-09,6.309957641854433e-09,6.2186291955670665e-09,6.243537097608229e-09,41640
2005-04-14,6.285049369836315e-09,6.285049369836315e-09,6.226931202754132e-09,6.243536336792238e-09,7195
2005-04-15,6.210326919386944e-09,6.251839958117346e-09,6.210326919386944e-09,6.251839958117346e-09,27363
2005-04-18,6.177116151917517e-09,6.359772636723917e-09,6.102392846547893e-09,6.359772636723917e-09,137507
2005-04-19,6.127300888891796e-09,6.22693170109386e-09,6.118998123259463e-09,6.2186289354615275e-09,65710
2005-04-20,6.1854183996956635e-09,6.2269314342832745e-09,6.160510895661209e-09,6.2269314342832745e-09,31411
2005-04-21,6.226930970854028e-09,6.35146966945063e-09,6.177115570594909e-09,6.21862820619537e-09,36590
2005-04-22,6.226930970854028e-09,6.3099566379525596e-09,6.185417939355958e-09,6.3099566379525596e-09,13634
2005-04-25,6.160511212272013e-09,6.39298310939681e-09,6.160511212272013e-09,6.39298310939681e-09,32494
2005-04-26,6.210326919386944e-09,6.2352348218047205e-09,6.1356036080312915e-09,6.2352348218047205e-09,56363
2005-04-27,6.035972610618501e-09,6.210326734663825e-09,5.9363417957062195e-09,6.210326734663825e-09,246949
2005-04-28,6.210326919386944e-09,6.3929834188258195e-09,6.069183062780792e-09,6.226932055699569e-09,521351
2005-04-29,6.268443986101602e-09,6.351469652984895e-09,6.143905287827857e-09,6.1854179233207e-09,1006961
2005-05-02,6.525824325365193e-09,6.5507318296721075e-09,6.3099571765845024e-09,6.5507318296721075e-09,190453
2005-05-03,6.392982143665904e-09,6.517520839118637e-09,6.392982143665904e-09,6.517520839118637e-09,90481
2005-05-04,1.7663575491155825e-08,1.7663575491155825e-08,1.7284732412216753e-08,1.7663575491155825e-08,96822
2005-05-05,1.7876676139394476e-08,1.7900353268435655e-08,1.759254268760992e-08,1.766357633281643e-08,47502
2005-05-06,1.7900351423350003e-08,1.7900351423350003e-08,1.7758285276621992e-08,1.7852996041107333e-08,39938
2005-05-09,1.7995064993669985e-08,1.7995064993669985e-08,1.7687254396577358e-08,1.7805643435164228e-08,92084
2005-05-10,1.8515970978683072e-08,1.8587003481607532e-08,1.799506068837773e-08,1.799506068837773e-08,620634
2005-05-11,1.8066096174607083e-08,1.846861749596384e-08,1.799506253535061e-08,1.846861749596384e-08,46148
2005-05-12,1.7876676139394476e-08,1.8089774816931033e-08,1.7805642494187965e-08,1.8089774816931033e-08,50873
2005-05-13,1.7876676139394476e-08,1.8089774816931033e-08,1.7805642494187965e-08,1.8089774816931033e-08,30285
2005-05-16,1.763989843084346e-08,1.8042419794042882e-08,1.7592543042763617e-08,1.8042419794042882e-08,35462
2005-05-17,1.7829316689699226e-08,1.8089770695012822e-08,1.759253867899053e-08,1.8089770695012822e-08,123494
2005-05-18,1.7876676139394476e-08,1.7971386913642166e-08,1.775828710706412e-08,1.775828710706412e-08,139462
2005-05-19,1.7876676139394476e-08,1.8113453075013698e-08,1.782932075227063e-08,1.7995064042683344e-08,160206
2005-05-20,1.7781962569074494e-08,1.7995061213102984e-08,1.7781962569074494e-08,1.7900350453747808e-08,16171
2005-05-23,1.775828373240529e-08,1.7829317364113073e-08,1.768725010069751e-08,1.7829317364113073e-08,47487
2005-05-24,1.78056414057437e-08,1.7829319662378934e-08,1.7710930637285603e-08,1.7829319662378934e-08,48995
2005-05-25,1.7710929611780557e-08,1.7805640374754675e-08,1.7568863467319376e-08,1.7805640374754675e-08,29401
2005-05-26,1.775828373240529e-08,1.7805639110530052e-08,1.7521506841781473e-08,1.7710928354280526e-08,98125
2005-05-27,1.78056414057437e-08,1.78056414057437e-08,1.759254161219227e-08,1.766357525305655e-08,27761
2005-05-30,1.7995064993669985e-08,1.8066098642630417e-08,1.7805643435164228e-08,1.787667708412466e-08,47570
2005-05-31,1.846861863441518e-08,1.846861863441518e-08,1.7876675743940866e-08,1.7876675743940866e-08,137052
2005-06-01,1.8279195046488894e-08,1.8326550430195806e-08,1.8018741000621584e-08,1.8326550430195806e-08,43024
2005-06-02,1.8231839149507323e-08,1.8279194531881055e-08,1.8113451258093678e-08,1.816080664046741e-08,21303
2005-06-03,1.8231839149507323e-08,1.8231839149507323e-08,1.8231839149507323e-08,1.8231839149507323e-08,0
2005-06-06,1.7947707320331574e-08,1.7995062703932395e-08,1.77582857859283e-08,1.7995062703932395e-08,49183
2005-06-07,1.7995064993669985e-08,1.7995064993669985e-08,1.7781966304871784e-08,1.7781966304871784e-08,6680
2005-06-08,1.797138438064394e-08,1.7995061506347918e-08,1.7805639984550783e-08,1.7995061506347918e-08,15773
2005-06-09,1.78056414057437e-08,1.7995062942659896e-08,1.7781964278149885e-08,1.797138581506608e-08,27048
2005-06-10,1.775828373240529e-08,1.7876672742237836e-08,1.775828373240529e-08,1.778196198598831e-08,9190
2005-06-13,1.797138438064394e-08,1.7995061506347918e-08,1.7758284604101496e-08,1.7876673619745374e-08,17192
2005-06-14,1.801874205398235e-08,1.8137129955649786e-08,1.775828686384764e-08,1.7876675894556546e-08,139521
2005-06-15,1.8279195046488894e-08,1.8279195046488894e-08,1.7995062744247428e-08,1.8066096384328496e-08,85716
2005-06-16,1.8208158536481278e-08,1.8208158536481278e-08,1.792402629664237e-08,1.801873704325534e-08,37080
2005-06-17,1.7995064993669985e-08,1.820816481150973e-08,1.797138786337754e-08,1.820816481150973e-08,11437
2005-06-20,1.7995064993669985e-08,1.8018743253003978e-08,1.79240324737511e-08,1.7947709604043546e-08,46831
2005-06-21,1.808977323491945e-08,1.808977323491945e-08,1.790035170298962e-08,1.7995062468954534e-08,157244
2005-06-22,1.8255517986176528e-08,1.8279195113596204e-08,1.799506281031162e-08,1.8113451834534235e-08,773204
2005-06-23,1.818448502888259e-08,1.8279195800201657e-08,1.811345251491402e-08,1.825551867189262e-08,71445
2005-06-24,1.7924030260019208e-08,1.81134517951302e-08,1.787667487624146e-08,1.81134517951302e-08,33325
2005-06-27,1.7995064993669985e-08,1.820816481150973e-08,1.79240324737511e-08,1.8113454032256855e-08,173341
2005-06-28,1.7995064993669985e-08,1.818448655217574e-08,1.7852998824790667e-08,1.818448655217574e-08,92805
2005-06-29,1.8113450295231814e-08,1.813712742063938e-08,1.7781962636236676e-08,1.8042416660926485e-08,89225
2005-06-30,1.8066096174607083e-08,1.823183945113653e-08,1.8018740791449898e-08,1.8113451557764267e-08,92098
2005-07-01,1.8066096174607083e-08,1.823183945113653e-08,1.8018740791449898e-08,1.8018740791449898e-08,36213
2005-07-04,1.8208158536481278e-08,1.8255513909787764e-08,1.801873704325534e-08,1.823183565861394e-08,80861
2005-07-05,1.8042417337937877e-08,1.8231838864471396e-08,1.8042417337937877e-08,1.8113450974908624e-08,15055
2005-07-06,1.7924030260019208e-08,1.8160807178907944e-08,1.790035200360963e-08,1.804241815494287e-08,128724
2005-07-07,1.7852993750011592e-08,1.799505987850809e-08,1.74267953645221e-08,1.7900349126177092e-08,130153
2005-07-08,1.78056414057437e-08,1.7876675046607982e-08,1.763989699642132e-08,1.7876675046607982e-08,61825
2005-07-11,1.775828373240529e-08,1.7971383498487362e-08,1.7639894722572745e-08,1.7663572976155763e-08,296030
2005-07-12,1.7995064993669985e-08,1.7995064993669985e-08,1.7687254396577358e-08,1.7687254396577358e-08,241648
2005-07-13,1.775828373240529e-08,1.7995060623029105e-08,1.7663572976155763e-08,1.7995060623029105e-08,35337
2005-07-14,1.8208158536481278e-08,1.8208158536481278e-08,1.7876670923335885e-08,1.7876670923335885e-08,136193
2005-07-15,1.7995064993669985e-08,1.818448655217574e-08,1.7829321694498222e-08,1.8018743253003978e-08,247793
2005-07-18,1.7852993750011592e-08,1.8018738131111452e-08,1.7852993750011592e-08,1.799505987850809e-08,68763
2005-07-19,1.7995064993669985e-08,1.823184194180218e-08,1.7900354214417105e-08,1.7995064993669985e-08,311786
2005-07-20,1.8113450295231814e-08,1.823183818035228e-08,1.7995061281070036e-08,1.823183818035228e-08,198475
2005-07-21,1.801874205398235e-08,1.823184072860032e-08,1.7805642250322908e-08,1.823184072860032e-08,142220
2005-07-22,1.8042417337937877e-08,1.8231838864471396e-08,1.8042417337937877e-08,1.8231838864471396e-08,94930
2005-07-25,1.830287210680126e-08,1.830287210680126e-08,1.8018739823127358e-08,1.8018739823127358e-08,110120
2005-07-26,1.8681713953583312e-08,1.882378008630912e-08,1.7924027912379002e-08,1.830287093298116e-08,438319
2005-07-27,1.929733350891638e-08,1.9889276282295196e-08,1.8492292104869235e-08,1.8515970357744182e-08,685959
2005-07-28,1.9534114770181077e-08,1.986560359131216e-08,1.9249982462675658e-08,1.9534114770181077e-08,612077
2005-07-29,1.9060557576722204e-08,1.9581467844702467e-08,1.9060557576722204e-08,1.9581467844702467e-08,289360
2005-08-01,1.8989528172141945e-08,1.965250354794776e-08,1.8989528172141945e-08,1.932101473100344e-08,83821
2005-08-02,1.9084238189748248e-08,1.9415724735576148e-08,1.9060559934165472e-08,1.9415724735576148e-08,84006
2005-08-03,1.9202625267666917e-08,1.9297336033474688e-08,1.9084238503969285e-08,1.9178949269777055e-08,138133
2005-08-04,1.9060557576722204e-08,1.917894658191078e-08,1.901320107141379e-08,1.9084235829376413e-08,53602
2005-08-05,1.917894820735455e-08,1.917894820735455e-08,1.884745941634887e-08,1.9060559192132334e-08,67004
2005-08-08,1.9060557576722204e-08,1.9415722334205476e-08,1.9036879324067998e-08,1.9415722334205476e-08,146807
2005-08-09,1.8871137541509597e-08,1.9392046752187264e-08,1.8871137541509597e-08,1.9392046752187264e-08,118860
2005-08-10,1.884746048119723e-08,1.901320375702295e-08,1.8752749715284995e-08,1.901320375702295e-08,145036
2005-08-11,1.929733350891638e-08,1.941572251520864e-08,1.884745799470477e-08,1.8942168748122083e-08,682359
2005-08-12,1.9344691182254792e-08,1.9415723687084468e-08,1.89421698914156e-08,1.89421698914156e-08,419126
2005-08-15,1.9226300551622444e-08,1.946307855858192e-08,1.9226300551622444e-08,1.946307855858192e-08,17530
2005-08-16,1.9226300551622444e-08,1.9534111057436795e-08,1.9226300551622444e-08,1.9415722053957055e-08,335659
2005-08-17,1.9036882292766677e-08,1.9202625571027976e-08,1.8942171525462676e-08,1.9202625571027976e-08,243236
2005-08-18,1.896584578275906e-08,1.9178945528780542e-08,1.896584578275906e-08,1.906055653009279e-08,141261
2005-08-19,1.8989528172141945e-08,1.9178949708086463e-08,1.8989528172141945e-08,1.901320417057289e-08,193388
2005-08-22,1.9060557576722204e-08,1.92973333290169e-08,1.9036879324067998e-08,1.92973333290169e-08,39231
2005-08-23,1.91315887576593e-08,1.9226299503664255e-08,1.898952376769302e-08,1.898952376769302e-08,51352
2005-08-24,1.924998116464849e-08,1.9415724434996528e-08,1.9060559639084247e-08,1.9060559639084247e-08,127740
2005-08-25,1.9510434157155032e-08,1.9534112411108315e-08,1.9202623630010082e-08,1.929733438774064e-08,217260
2005-08-26,1.946308358924398e-08,1.9534116106458766e-08,1.92736620379492e-08,1.9439405330811377e-08,209275
2005-08-29,1.941572591590557e-08,1.95577931999561e-08,1.9273660889937914e-08,1.9510436685911628e-08,453166
2005-08-30,1.9273658224960855e-08,1.9510433988195484e-08,1.917894746805049e-08,1.941572323128512e-08,311460
2005-08-31,1.941572591590557e-08,1.941572591590557e-08,1.920262611887121e-08,1.920262611887121e-08,187498
2005-09-01,1.946308358924398e-08,1.9581472623323966e-08,1.929733803829879e-08,1.941572707237878e-08,313297
2005-09-02,1.9936631900918655e-08,2.0126053399324532e-08,1.9439399903082637e-08,1.9534110652285577e-08,277316
2005-09-05,2.083638861449799e-08,2.0883742867937873e-08,2.0031345983275242e-08,2.010237849247644e-08,290703
2005-09-06,2.0765355657204054e-08,2.152304176055417e-08,2.0528577620865792e-08,2.0931098927791215e-08,477847
2005-09-07,2.0599610905946975e-08,2.095477797385809e-08,2.0386511116816864e-08,2.095477797385809e-08,110416
2005-09-08,2.012605726520178e-08,2.05996111021782e-08,2.012605726520178e-08,2.05996111021782e-08,71404
2005-09-09,2.0717999760222483e-08,2.0836388781897454e-08,2.0126056909930413e-08,2.0126056909930413e-08,195108
2005-09-12,2.107316632304901e-08,2.1428333417667587e-08,2.081271226012842e-08,2.081271226012842e-08,716159
2005-09-13,2.1025810426067437e-08,2.1309942724760983e-08,2.1025810426067437e-08,2.1309942724760983e-08,436555
2005-09-14,2.1167871011584793e-08,2.126258175797354e-08,2.1002127769925062e-08,2.126258175797354e-08,524386
2005-09-15,2.128626164221714e-08,2.128626164221714e-08,2.1049485887120503e-08,2.128626164221714e-08,682448
2005-09-16,2.112052399638742e-08,2.1357302072442858e-08,2.112052399638742e-08,2.121523477519298e-08,332504
2005-09-19,2.1428331109518695e-08,2.1783495907797797e-08,2.1380974598770697e-08,2.1783495907797797e-08,149946
2005-09-20,2.1499364066812632e-08,2.1665107341728587e-08,2.1357299047765462e-08,2.1499364066812632e-08,256260
2005-09-21,2.1309942255243186e-08,2.1617752803233293e-08,2.1167874979985162e-08,2.1617752803233293e-08,96868
2005-09-22,2.107316632304901e-08,2.1428333417667587e-08,2.107316632304901e-08,2.133362264405256e-08,119815
2005-09-23,2.107316632304901e-08,2.140465515974309e-08,2.1025812065282975e-08,2.140465515974309e-08,134691
2005-09-26,2.1025810426067437e-08,2.1238910214608294e-08,2.0954777915914748e-08,2.119155370245131e-08,54153
2005-09-27,2.107316632304901e-08,2.1120522838898004e-08,2.090742303374345e-08,2.1120522838898004e-08,91150
2005-09-28,2.107316632304901e-08,2.1167877096664037e-08,2.0931101291667947e-08,2.107316632304901e-08,159203
2005-09-29,2.107316632304901e-08,2.123891187043753e-08,2.090742303374345e-08,2.107316632304901e-08,114040
2005-09-30,2.107316632304901e-08,2.107316632304901e-08,2.0954779549592445e-08,2.107316632304901e-08,86690
2005-10-03,2.128626164221714e-08,2.128626164221714e-08,2.095477513346535e-08,2.1073161881972426e-08,43387
2005-10-04,2.0812715106899304e-08,2.1191558253177725e-08,2.0812715106899304e-08,2.10731692054449e-08,160052
2005-10-05,2.0931096855747455e-08,2.104948586219684e-08,2.07890295963917e-08,2.0836386102204447e-08,143411
2005-10-06,2.1049487486379803e-08,2.1191552498614843e-08,2.086006596467798e-08,2.09310984707955e-08,143312
2005-10-07,2.107316632304901e-08,2.1191555354588535e-08,2.088374477581895e-08,2.1167877096664037e-08,129353
2005-10-10,2.1167871011584793e-08,2.126258175797354e-08,2.104948427216059e-08,2.1073160265196044e-08,120827
2005-10-11,2.107316632304901e-08,2.1167877096664037e-08,2.1002133807358478e-08,2.107316632304901e-08,217520
2005-10-12,2.1191551624610838e-08,2.1191551624610838e-08,2.1049486618234993e-08,2.107316261390926e-08,11271
2005-10-13,2.1002129813041392e-08,2.1191551324246076e-08,2.0978451559620175e-08,2.1191551324246076e-08,55086
2005-10-14,2.1191551624610838e-08,2.1191551624610838e-08,2.0954775861290238e-08,2.116787337085401e-08,46700
2005-10-17,2.083638861449799e-08,2.1073164397862902e-08,2.078903210297536e-08,2.1073164397862902e-08,90930
2005-10-18,2.078903271751642e-08,2.1167875788565394e-08,2.078903271751642e-08,2.1025810765963442e-08,34760
2005-10-19,2.0173411385826512e-08,2.0812708425417678e-08,2.0126054878702882e-08,2.0812708425417678e-08,205315
2005-10-20,2.02918037928157e-08,2.0481225357937094e-08,2.0173417008177205e-08,2.0481225357937094e-08,102951
2005-10-21,2.0220765506451244e-08,2.0386508764166266e-08,2.0173411257710893e-08,2.0291798008603035e-08,47484
2005-10-24,2.041018376530701e-08,2.041018376530701e-08,2.017340804316934e-08,2.0362829524112343e-08,206635
2005-10-25,2.0339154360726752e-08,2.0599608372023997e-08,2.0291797854264063e-08,2.0599608372023997e-08,9785
2005-10-26,2.0220765506451244e-08,2.0362832768837355e-08,2.0149733004299453e-08,2.0291798008603035e-08,81252
2005-10-27,2.0220765506451244e-08,2.0410187017577706e-08,2.0078698244065133e-08,2.0244443759862684e-08,130559
2005-10-28,2.0173411385826512e-08,2.033915464459412e-08,2.0126054878702882e-08,2.0126054878702882e-08,84784
2005-10-31,2.0481220275314627e-08,2.0481220275314627e-08,2.0244444506712776e-08,2.0244444506712776e-08,47878
2005-11-01,2.128626164221714e-08,2.178349366342731e-08,2.0386508353451954e-08,2.0646964619565486e-08,87998
2005-11-02,2.1309942255243186e-08,2.154672029464565e-08,2.0717999414819765e-08,2.149936378353206e-08,113552
2005-11-03,2.1428331109518695e-08,2.1665106889010524e-08,2.1309942090731418e-08,2.1309942090731418e-08,574034
2005-11-04,2.1428331109518695e-08,2.1546720128305968e-08,2.1215231327318144e-08,2.145200936489269e-08,50869
