Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.76432418823242,35.66295790351814,27.08104880255562,29.246882194513173,855215656
1,2007-10-08,31.087032318115234,33.871674504841586,30.891617978838802,33.871674504841586,126671715
2,2007-10-09,33.204002380371094,33.49712160074298,29.42600904713393,31.10330653573289,116725709
3,2007-10-10,33.513404846191406,34.19735260508341,33.22028564022043,34.06707568453646,67931378
4,2007-10-11,37.25883102416992,39.08269037975194,33.22028814802113,39.08269037975194,106320954
5,2007-10-12,37.014564514160156,38.39874282821,36.15148950771119,36.47717852278174,99410791
6,2007-10-15,37.50310134887695,38.00792201728386,37.17741230504296,37.77993791962392,41814972
7,2007-10-16,41.3299446105957,41.981327068369936,37.291401644011806,37.55195109316946,138614496
8,2007-10-17,44.554264068603516,45.59646615692953,34.55560838014402,37.12855265426301,204876259
9,2007-10-18,42.9909553527832,48.67422997383044,41.150813449709325,45.270778274187194,146617799
10,2007-10-19,42.844398498535156,44.5868354939241,40.711132944715914,42.013888916230684,110266491
11,2007-10-22,42.27443313598633,43.5934714898515,40.87396813500096,41.98131399262059,72253405
12,2007-10-23,45.28706359863281,45.694174818637215,43.316642643347805,43.316642643347805,74594921
13,2007-10-24,44.586849212646484,46.73639811051859,44.08202846789473,46.247860053444846,63055170
14,2007-10-25,44.48912811279297,45.53133470306439,39.29438667970368,43.072380047637715,34522489
15,2007-10-26,45.824462890625,46.557263300360084,44.04945568673483,45.27078970295997,62370025
16,2007-10-29,46.752662658691406,47.8762913608678,46.34555145028538,46.573535493968485,43657697
17,2007-10-30,47.794883728027344,49.08135288934512,45.987306759742395,47.387772395184875,79921711
18,2007-10-31,48.78822708129883,49.863003506573634,47.87629958479908,48.03914409613404,44655368
19,2007-11-01,47.6971549987793,50.36780602526181,47.30633092833917,49.993264634550435,50632492
20,2007-11-02,48.560245513916016,48.85336918345507,45.59647437060582,45.9710203000301,32001693
21,2007-11-05,49.5535888671875,50.64464779385314,48.23454589586719,48.52766950112016,38833135
22,2007-11-06,50.2049674987793,53.380434981860724,49.521019772781564,50.41666444749684,81880281
23,2007-11-07,49.47218322753906,51.84971172566178,48.36484124783041,51.133198405822455,33593141
24,2007-11-08,48.625389099121094,49.94443246851243,47.55061694697173,48.201995079775145,27990521
25,2007-11-12,49.797855377197266,50.677217354261884,45.87330067800362,47.15977386344273,35153735
26,2007-11-13,50.986629486083984,52.012549054223726,49.03249529250726,50.64465776918414,43830531
27,2007-11-14,50.31895446777344,52.59877704711452,50.05840066538537,51.88225961234602,36738579
28,2007-11-15,51.165771484375,52.061416504798615,50.204986877307775,51.26347644689931,29242252
29,2007-11-16,50.80748748779297,51.963681448611894,50.2212447499972,50.93776217926795,18895294
30,2007-11-19,52.64763641357422,54.55291784554186,51.57286453781788,51.96368866652948,40716718
31,2007-11-20,51.83341598510742,53.90154198932018,51.19832067712156,52.43594151006638,26342171
32,2007-11-21,47.794883728027344,52.45223560876886,46.638684892290335,52.142833646273,26814499
33,2007-11-22,46.150142669677734,49.21162285456489,44.14715616984103,47.290054188643,34096185
34,2007-11-23,49.211631774902344,49.50475104942337,46.443270309597466,49.179061984968754,27664090
35,2007-11-26,49.60243606567383,51.035466489825346,49.21161199587189,51.035466489825346,20159123
36,2007-11-27,48.38111114501953,50.44923712335058,47.87629497545888,50.44923712335058,20573198
37,2007-11-28,47.664588928222656,49.66757956255406,47.33889996881127,49.4395955239904,16435311
38,2007-11-29,46.37813186645508,49.11391893086045,45.77560625634762,48.85336946470388,25530967
39,2007-11-30,48.16939926147461,48.46251837936208,46.573524581919855,47.22490236275349,18437721
